customer_id,avg_distance_to_shops,min_distance_to_shops,max_distance_to_shops,products_purchased,unique_products_purchased,amount_purchased,avg_purchase,avg_price,shops_used,distance_shop_1,distance_shop_2,distance_shop_3,distance_shop_4,distance_shop_5,products_purchased_shop_1,products_purchased_shop_2,products_purchased_shop_3,products_purchased_shop_4,products_purchased_shop_5,unique_products_purchased_shop_1,unique_products_purchased_shop_2,unique_products_purchased_shop_3,unique_products_purchased_shop_4,unique_products_purchased_shop_5,amount_purchased_shop_1,amount_purchased_shop_2,amount_purchased_shop_3,amount_purchased_shop_4,amount_purchased_shop_5,avg_purchase_shop_1,avg_purchase_shop_2,avg_purchase_shop_3,avg_purchase_shop_4,avg_purchase_shop_5,avg_price_shop_1,avg_price_shop_2,avg_price_shop_3,avg_price_shop_4,avg_price_shop_5
36715,3262.2402,3262.2402,3262.2402,242.0,137.0,518.573,3.7852044,2.5792336,1.0,3262.2402,212.83383,1588.6643,4246.985,2513.4297,242,0,0,0,0,137,0,0,0,0,518.573,0.0,0.0,0.0,0.0,3.7852044,0.0,0.0,0.0,0.0,2.5792336,0.0,0.0,0.0,0.0
48703,1364.9442,499.60278,2006.9248,129.0,99.0,292.676,2.5673332,2.1259387,3.0,2006.9248,1684.9658,499.60278,2690.5159,1123.9921,49,31,49,0,0,45,26,43,0,0,93.269,93.155,106.252,0.0,0.0,2.0726445,3.5828846,2.4709768,0.0,0.0,1.9782889,2.2376153,2.2129302,0.0,0.0
56808,1614.5452,1212.551,4467.723,2097.0,307.0,4299.341,12.949822,2.6068103,2.0,4467.723,1212.551,2807.2754,5452.3037,3732.0405,53,2044,0,0,0,41,291,0,0,0,222.617,4076.724,0.0,0.0,0.0,5.4296827,14.009361,0.0,0.0,0.0,3.846756,2.43211,0.0,0.0,0.0
42193,2272.4995,1052.6509,5302.565,524.0,280.0,1422.6641,4.88888,3.1624672,3.0,2288.6746,5302.565,3675.3862,1052.6509,2764.5164,501,6,0,17,0,270,5,0,16,0,1380.834,10.931,0.0,30.899,0.0,5.1142,2.1862,0.0,1.9311875,0.0,3.2676852,1.786,0.0,1.8170625,0.0
34007,2412.2063,1313.1987,2784.236,6590.0,853.0,14207.913,11.83007,2.7314837,4.0,2784.236,1780.7527,1313.1987,3168.4258,1890.268,4848,1693,31,0,18,764,402,21,0,14,10831.204,3289.143,65.112,0.0,22.454,14.176969,8.181948,3.1005714,0.0,1.6038572,2.9848325,2.3219054,2.2957144,0.0,1.3202857
22708,516.9017,120.85017,1710.9733,3632.0,638.0,7974.256,10.197258,2.34267,3.0,1710.9733,1588.7805,120.85017,2752.639,958.8096,227,50,3355,0,0,156,42,584,0,0,502.781,116.145,7355.33,0.0,0.0,3.2229552,2.7653573,12.594743,0.0,0.0,2.5144808,2.4446428,2.2894418,0.0,0.0
21289,868.30096,617.9447,908.50415,582.0,295.0,1834.887,5.770085,3.4854026,2.0,908.50415,2360.354,926.73706,2283.525,617.9447,532,0,0,0,50,274,0,0,0,44,1746.261,0.0,0.0,0.0,88.626,6.373215,0.0,0.0,0.0,2.0142272,3.7502153,0.0,0.0,0.0,1.8363409
12901,2581.7483,2520.5833,2847.9963,409.0,163.0,1160.211,6.374786,2.8824232,2.0,2520.5833,2847.9963,1767.8696,2319.2168,1752.3486,364,45,0,0,0,148,34,0,0,0,1058.59,101.621,0.0,0.0,0.0,7.152635,2.988853,0.0,0.0,0.0,3.0741487,2.047853,0.0,0.0,0.0
15678,5112.7437,5112.7437,5112.7437,74.0,58.0,232.484,4.0083447,3.500707,1.0,5112.7437,1924.8635,3547.6536,6236.0586,4459.0493,74,0,0,0,0,58,0,0,0,0,232.484,0.0,0.0,0.0,0.0,4.0083447,0.0,0.0,0.0,0.0,3.500707,0.0,0.0,0.0,0.0
34333,1887.341,406.82166,3076.1685,5925.0,740.0,13030.796,11.965837,2.9433994,2.0,3076.1685,406.82166,1380.2794,4017.665,2303.2974,3038,2887,0,0,0,604,485,0,0,0,6817.305,6213.491,0.0,0.0,0.0,11.286929,12.811321,0.0,0.0,0.0,3.0594702,2.7988496,0.0,0.0,0.0
51755,1670.4225,887.3347,3432.9463,106.0,76.0,230.052,2.706494,2.4250588,3.0,980.00903,3432.9463,1809.7163,887.3347,934.9571,67,37,0,2,0,59,24,0,2,0,164.687,61.117,0.0,4.248,0.0,2.791305,2.5465417,0.0,2.124,0.0,2.592271,2.0390832,0.0,2.124,0.0
